"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"Piter Frank Almeida Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Open Class
",1,"Alliance "
"Quincy Torres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLACK 
","

 Feather
",3,"Coalition 95 "
"Quoc-Hoc Van Do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Light Feather
",3,"Carlson Gracie Team"
"Rachel Michelle Nelson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLACK 
","

 Feather
",3,"RMNU Team"
"Rachel Noelle Morrison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLACK 
","

 Middle
",3,"Zenith BJJ"
"Rachel Noelle Morrison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLACK 
","

 Open Class
",2,"Zenith BJJ"
"Rachna Eav Grunkemeier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BROWN 
","

 Rooster
",2,"Cascade Jiu-Jitsu"
"Rackel Acatauassu Alves Correa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 PURPLE 
","

 Heavy
",3,"Constrictor Team"
"Rafael Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Rooster
",1,"Smartjits"
"Rafael Natal Diniz Franca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Heavy
",3,"Gracie Barra"
"Rafael Verga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",2,"Fabin Rosa Brazilian Jiu-Jitsu"
"Raimundo Nogueira de Matos Junior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",3,"Gracie Barra"
"Ramona James Vida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 PURPLE 
","

 Light Feather
",2,"Ralph Gracie"
"Ray Anthony Juachon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Light Feather
",1,"CheckMat USA"
"Ray Rutledge Fulp lll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Heavy
",1,"Rodrigo Pinheiro BJJ"
"Raymond Herrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Super Heavy
",3,"Cassio Werneck BJJ"
"Raymond Herrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Open Class
",2,"Cassio Werneck BJJ"
"Rebecca Anne Blissett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Medium Heavy
",2,"Pacific Top Team"
"Rebecca Camacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 PURPLE 
","

 Light Feather
",3,"GF Team"
"Rebecca Dawn Koller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Female 
","

 BLUE 
","

 Rooster
",3,"Alliance "
"Rebecca Griffin Gore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLUE 
","

 Rooster
",3,"CheckMat"
"Rebecca Mary Annan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BROWN 
","

 Medium Heavy
",2,"Sorriso BJJ Club"
"Rebekah Lynn Ketchens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Heavy
",2,"Alliance "
"Rebekah Lynn Ketchens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BLUE 
","

 Open Class
",3,"Alliance "
"Reda Hamzaoui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Super Heavy
",3,"GF Team"
"Reece Michael Killebrew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",2,"Smartjits"
"Regina Eulalia Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLUE 
","

 Super Heavy
",1,"TRUJITSU"
"Regina Eulalia Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BLUE 
","

 Open Class
",2,"TRUJITSU"
"Régis da Silveira Lebre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",1,"Gracie Humaita"
"Renan Wiltshire Lisboa Salles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Ultra Heavy
",2,"CheckMat"
"Renato Rodrigues de Andrade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",1,"CheckMat"
"Renato Sampaio Tavares Filho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Light Feather
",1,"Renato Tavares Association"
"Rene Eduardo Lopez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Light Feather
",1,"Jiu-Jitsu Methods "
"Rene Grobecker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Female 
","

 BROWN 
","

 Feather
",1,"One Jiu-Jitsu USA"
"Renier Nuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",1,"Fight Sports"
"Rica Urabe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Feather
",2,"Tri-Force Jiu-Jitsu Academy"
"Rica Urabe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Open Class
",1,"Tri-Force Jiu-Jitsu Academy"
"Ricardo A Calamari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLUE 
","

 Light Feather
",3,"Roberto Traven BJJ"
"Ricardo Feliciano Pereira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",2,"CheckMat"
"Ricardo Ferreira Evangelista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",3,"GF Team"
"Ricardo Ferreira Evangelista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Open Class
",3,"GF Team"
"Ricardo Luis Fernando Silva Do Nascimento Campana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Super Heavy
",3,"Rilion Gracie"
"Ricardo Montelongo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",2,"Rodrigo Pinheiro BJJ"
"Ricardo Sampaio Ribeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLACK 
","

 Ultra Heavy
",3,"De La Riva International"
"Richard Allen Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Light Feather
",3,"GF Team"
"Richard Campbell Jr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Heavy
",2,"Gracie Barra"
"Richard Cerruto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Light Feather
",1,"Black Hole Jiu-Jitsu"
"Richard David Goodwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Light
",3,"New Creation Jiu-Jitsu Academy"
"Richard Dinkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BROWN 
","

 Light
",1,"Zenith BJJ"
"Richard J. Byrne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Feather
",3,"BJJ - Mushin"
"Richard John Randolph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Ultra Heavy
",1,"Alliance "
"Richard Joseph O'Meara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Super Heavy
",3,"Embrace Martial Arts"
"Richard Kelly Chen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Light
",3,"Gracie Barra BJJ"
"Richard L Timney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",3,"Ares BJJ"
"Richard L Timney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Open Class
",3,"Ares BJJ"
"Richard Marion Hunt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 PURPLE 
","

 Ultra Heavy
",3,"Travis Lutter Brazilian Jiu-Jitsu"
"Richard Myres Hilburn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Feather
",1,"Carlson Gracie Team"
"Richard Scott Balkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 PURPLE 
","

 Light Feather
",3,"Soul Fighters BJJ"
"Richard William Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BROWN 
","

 Middle
",1,"Vicente Jr. Team"
"Richard William Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BROWN 
","

 Open Class
",2,"Vicente Jr. Team"
"Richelle Carrie Takemoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 BLUE 
","

 Rooster
",1,"Oneonta Jiu-Jitsu Academy"
"Rick Llanes Quindipan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 PURPLE 
","

 Light Feather
",1,"Zenith BJJ"
"Rick Via",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",2,"Six Blades Jiu-Jitsu"
"Ricky Bellingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",3,"British Army BJJ"
"Ricky James Savage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Super Heavy
",2,"Atos Jiu-Jitsu"
"Ricky Nathaniel Donald O'brien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",3,"Atos Jiu-Jitsu"
"Ricky R Kolmel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",1,"Double Five"
"Ricky R Kolmel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Open Class
",2,"Double Five"
"Robert  Wayne Carter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BROWN 
","

 Super Heavy
",3,"Gracie Humaita"
"Robert D Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 PURPLE 
","

 Medium Heavy
",3,"Paragon BJJ Academy"
"Robert George Marvin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLACK 
","

 Middle
",3,"Pablo Silva BJJ"
"Robert J Chuisano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 PURPLE 
","

 Super Heavy
",2,"Vamos Brazilian Jiu Jitsu"
"Robert James Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",2,"Classic Brazilian Jiu-Jitsu "
"Robert John Plaszcz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Middle
",2,"RMNU Team"
"Robert L Weisenfeld",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 PURPLE 
","

 Feather
",3,"Alliance "
"Robert Lee  Jenkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 PURPLE 
","

 Medium Heavy
",2,"Brazilian Top Team"
"Robert Lee McGruder Jr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 PURPLE 
","

 Light Feather
",3,"Gracie Barra"
"Robert Merril Lindamood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",3,"RMNU Team"
"Robert Michael Lilly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 PURPLE 
","

 Middle
",2,"Prime Jiu-Jitsu Center"
"Robert Neal Ziller Ramírez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Feather
",3,"Cicero Costha Internacional"
"Robert P Chade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 PURPLE 
","

 Feather
",2,"R1NG BJJ"
"Robert Ross Jon Currie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BLUE 
","

 Middle
",2,"Gracie Barra"
"Robert Scott Schwartz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Feather
",2,"Art In Motion Jiu-Jitsu"
"Robert Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Feather
",3,"Nova União"
"Roberto Eduardo Ferranty Mac Lennan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 PURPLE 
","

 Middle
",3,"CheckMat"
"Roberto Godoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Super Heavy
",1,"G13 BJJ "
"Roberto Godoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Open Class
",1,"G13 BJJ "
"Roberto Robelin Salinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",3,"Team LDMA"
"Rodney Blaine Vieira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Heavy
",2,"Phantom Brazilian Jiu-Jitsu"
"Rodney Joseph Partridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",2,"Detroit Jiu-Jitsu Syndicate"
"Rodney Ramirez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Feather
",3,"Brasa CTA"
"Rodrigo Rodrigues Rondelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLUE 
","

 Feather
",1,"Fabin Rosa Brazilian Jiu-Jitsu"
"Roger Dias Coelho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLACK 
","

 Heavy
",2,"Roger Coelho - Costa Rica "
"Rogério Camargo Leite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Medium Heavy
",1,"Carlson Gracie Team"
"Rogerio Poggio de Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Light
",2,"Infight JJ"
"Rogerio Yoski Suto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Middle
",2,"Impacto BJJ"
"Rogerio Yoski Suto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLACK 
","

 Open Class
",3,"Impacto BJJ"
"Romain Rousval",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Feather
",3,"Gracie Barra"
"Romana Elizabeth Sidhu ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Medium Heavy
",3,"GF Team"
"Romana Elizabeth Sidhu ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Female 
","

 PURPLE 
","

 Open Class
",3,"GF Team"
"Ron S. Lutostanski II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Middle
",1,"Gracie Barra"
"Ronald E. Little",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BROWN 
","

 Light Feather
",3,"Carlson Gracie Team"
"Ronaldo Coelho Vello Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Rooster
",2,"Art of Jiu Jitsu"
"Ronaldo Delibero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLACK 
","

 Feather
",1,"Fight Sports"
"Ronnie Trey Louis Pace III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLACK 
","

 Heavy
",3,"Team Royce Gracie"
"Roothchild St Germain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BROWN 
","

 Feather
",3,"Cicero Costha Internacional"
"Rosa Hipolita McKinney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Light
",3,"Gracie Barra"
"Rosa Hipolita McKinney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Female 
","

 BLUE 
","

 Open Class
",2,"Gracie Barra"
"Rosangela Texeira da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 PURPLE 
","

 Super Heavy
",1,"Renzo Gracie Academy"
"Rosangela Texeira da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Female 
","

 PURPLE 
","

 Open Class
",3,"Renzo Gracie Academy"
"Rosvel Serna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Light
",3,"Richardson BJJ"
"Roy Fredrick Holland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BLUE 
","

 Super Heavy
",3,"Upper Valley Brazilian Jiu Jitsu"
"Rubens Angel Demicheri Ilaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 7 
","

 Male 
","

 BLUE 
","

 Light
",3,"Ricardo Pinheiro"
"Rudolfo Pablo Salinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 BROWN 
","

 Ultra Heavy
",3,"Relson Gracie"
"Russell A. Salo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Ultra Heavy
",3,"Alliance "
"Russell A. Salo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLUE 
","

 Open Class
",3,"Alliance "
"Russell J Terlecki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 5 
","

 Male 
","

 BLACK 
","

 Light Feather
",3,"TAC Team BJJ"
"Russell Thea Wheeler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Light Feather
",1,"Team Link Utah"
"Ryan G Cser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",1,"Coachella Valley BJJ"
"Ryan Keith Ridela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 BLUE 
","

 Medium Heavy
",3,"GF Team"
"Ryan Masaji Arakaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 4 
","

 Male 
","

 PURPLE 
","

 Light Feather
",3,"Brasa CTA"
"Ryan Thomas Wight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 1 
","

 Male 
","

 BLUE 
","

 Middle
",2,"Haven Jiu-Jitsu"
"Ryan William Becker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 3 
","

 Male 
","

 PURPLE 
","

 Feather
",1,"Carlson Gracie Team"
"Sa'idah Zeinab Durkee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BROWN 
","

 Heavy
",3,"Team Lloyd Irvin"
"Sabrina Felker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 PURPLE 
","

 Medium Heavy
",2,"Gracie Barra"
"Safar Aliyev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Medium Heavy
",1,"Team Leites Stockholm"
"Safar Aliyev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 BROWN 
","

 Open Class
",2,"Team Leites Stockholm"
"Salua Silva Borges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 2 
","

 Female 
","

 BROWN 
","

 Super Heavy
",2,"Zenith BJJ"
"Salvador Bernal Sanz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Master 6 
","

 Male 
","

 PURPLE 
","

 Medium Heavy
",2,"Ases Jiu Jitsu"
