"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Ahmed Monir M. A. Ghoneim",17,"Synergy Brazilian Jiu Jitsu",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ahmed Yosan Richard Thomas White",25,"Ralph Gracie Jiu-Jitsu Berkeley",0,14,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ai Jin Lee",3,"Team Buda International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aileen D. McHugh",4,"Fenix BJJ Woburn",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aimee Coleen S. Martinez",1,"Ares BJJ",21,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aimee Marie Bridges",25,"One Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aino Elina Tuominen",13,"Loop Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aislinn Melissa Fletcher",1,"Roger Gracie Academy Texas",63,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aki Juhani Luukkonen",10,"Renzo Gracie International",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Akiko Sawada",4,"Dragon's Den",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Akin Kurtulan",21,"GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Akira Hirai",15,"Marco Nascimento BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Akira Kibe",6,"Splash",7,7,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Akram A Refaat",24,"Unified Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
